target_tweet,authentic_reply,STANCE,ACTION,PERSONALNESS,POLITENESS
">JudiciaryGOP: They’ve been out to get President Trump since he came down the escalator. 

But he never stopped fighting for YOU. 

Amazing.","@JudiciaryGOP @Jim_Jordan We wouldn’t have had a #January6th if Republicans didn’t protect Trump at every turn. The blood and the injuries caused that day are on your hands.

Think how many #J6 defendants and how many poll workers lives were ruined b/c you put power and Trump ahead of your oath of office.",OPPOSE,STATEMENT,GENERAL,RUDE
">AlGruskin: Pander Alert: Have been here for less than 24 hours, yet San Diego/Barnes Tennis Center have already CATAPULTED to the top of my “Must Attend Tennis Destination” List

The weather. The abundance of tennis in the air. Amusement Park nearby. All things Lornie Kuhle. What a place!!",@AlGruskin Wallet in his sock,OPPOSE,STATEMENT,GENERAL,RUDE
>historyinmemes: What fashion trend throughout history should we bring back?,@historyinmemes Most defintely … ‘formal and informal education will improve your life’ mentality.,SUPPORT,STATEMENT,GENERAL,NORMAL
>theliamnissan: Trump's gonna try to flee the country and it will be funny as all get out,@theliamnissan @IAmJohnAles Haaaaa!,SUPPORT,REACTION,GENERAL,NORMAL
">genz_4biden: Gen Z is going to vote for the candidate who supports gun reform, is pro-choice, and will protect our environment.   

That candidate is President Joe Biden.",@genz_4biden Keep up the great work - Tea,SUPPORT,COMMAND,GENERAL,POLITE
">SRXracing: 🟢🟢🟢🟢🟢

HEAT 2.

#CampingWorldSRX",@SRXracing we back 👏 #CampingWorldSRX,SUPPORT,STATEMENT,GENERAL,NORMAL
">RyanAFournier: Joe Rogan should 1000% host President Trump.

That will be the interview that breaks the internet! 🔥🔥

DO IT!",@RyanAFournier He’s too weak and won’t admit he’s intimidated by @realDonaldTrump,SUPPORT,STATEMENT,GENERAL,RUDE
">HannahDCox: If there was a canine sport for how fast you can eat things you shouldn’t before your owner sees, Phoenix would be a world champion by now.

Help. How do you get your dog to quit eating things they shouldn’t? This is the one area of training P is flunking.","@HannahDCox We used that bad tasting dog spray for a bit. But, mostly solved the issue by giving our dogs bones and other treatos to munch during the day instead. Keeps them insanely occupied and our things don't get eaten or chewed.",SUPPORT,STATEMENT,PERSONAL,POLITE
">realJojoJerz: Holy shit!!
They just found a dozen classified documents at Mike Pence’s house!!!!!!","@realJojoJerz I spit out my coffee when I read that.
Fox News is gonna have a hard time trying to spin that one.",SUPPORT,STATEMENT,PERSONAL,NORMAL
">SecBlinken: On the three-year anniversary of the fraudulent election in Belarus, together with our allies and partners we are imposing sanctions and placing visa restrictions on those who enable the Lukashenka’s brutal repression and enable Russia’s illegal war against Ukraine.",@SecBlinken Lol - you mad because Belarus refused to be a western puppet.,OPPOSE,STATEMENT,GENERAL,RUDE
">SenRickScott: #Bidenomics just dealt another blow to our nation's economy, forcing our credit rating to drop from AAA to AA for the first time since 2011.
I've been warning for years that if we didn't get our fiscal house in order this would happen. And sadly, this White House wouldn't listen.",@SenRickScott You should never be allowed to discuss our country's financial situation.,OPPOSE,COMMAND,GENERAL,RUDE
">kimguilfoyle: Let’s get one thing straight:

This isn’t about the facts or the law. 

This is about the swamp trying to stop Donald Trump in 2024. 

But it’s backfiring. 

Even in the face of full-fledged deep state corruption, MAGA is as strong as ever.","@kimguilfoyle One thing I got straight.
You are not worth listening to.
You’re a fool and an apologist.
For a family that already binned you.
I guess it’s too late to ask you to show some self pride.",OPPOSE,STATEMENT,GENERAL,RUDE
">POTUS: As residents of Hawai'i mourn the loss of life and devastation taking place across their beautiful home, we mourn with them.

Like I've said, not only our prayers are with those impacted – but every asset we have will be available to them.

Here's the latest:",@POTUS Joe Biden can't stop going on vacation to visit East Palestine or even make a statement about Lahaina on Maui burning to the ground and hundreds of children dying! What do you think this fool would do if we were at war with Russia or China?! #StrongMen #SemperFi,OPPOSE,QUESTION,GENERAL,RUDE
">EdKrassen: Question for everyone.

If Trump broke the law, should he be held accountable?  Why or why not?",@EdKrassen LOCK HIM UP!,SUPPORT,COMMAND,GENERAL,RUDE
">ThatEricAlper: If you woke up in the year 2123, what would be your first Google search?",@ThatEricAlper Me.,SUPPORT,STATEMENT,PERSONAL,NORMAL
>Scaramucci: Trump is going to have his bail revoked.,@Scaramucci That’s President Trump to you.,OPPOSE,STATEMENT,GENERAL,NORMAL
">MarshaBlackburn: The newest charges against Trump in Fulton County come just days after AG Garland elevated Weiss to special counsel in the Hunter Biden case.

Once again, the radical Left is targeting the Republican frontrunner, President Trump, to distract from the Biden family corruption.","@MarshaBlackburn Filthy twisting of reality.
This is a horrible thing to do to America.",OPPOSE,STATEMENT,GENERAL,RUDE
">funder: Who else is voting Blue in 2024? Lemme know, I wanna be sure we follow each other. #ProtectSocialSecurity",@funder We will never vote for any fucking evil corrupt Libtard,OPPOSE,STATEMENT,GENERAL,RUDE
">RonnyJacksonTX: I WILL NOT vote for any  continuing resolution that doesn’t smash Biden’s DOJ into a million pieces. The DOJ has very rapidly become the enemy of the American people, and if nothing is done soon, our rights will be GONE. We MUST defund it!!",@RonnyJacksonTX What billionaire donor or lobbyist visited your office this morning and cut you a check?,NEUTRAL,QUESTION,GENERAL,NORMAL
">goddeketal: When I started using Twitter two years ago, I felt alone in my opinions regarding:
▪️ Nazis in Ukraine
▪️ The plandemic
▪️ Climate scam
▪️ The fact that there are only two genders

Thanks to you guys, I don’t feel as alone anymore. Half a million people can’t be wrong.","@goddeketal Same! Meeting all of you has made such a positive impact on my life. I was going crazy before Twitter spaces and finding people who weren’t totally brainwashed by MSM.

Love all of you here who contribute positive vibes and always in search of the TRUTH.",SUPPORT,STATEMENT,PERSONAL,NORMAL
>JRubinBlogger: It's unclear how many of these inane arguments Lauro will actually make and how many are for consumption by the zombie base and the easily duped rightwing commentators desperate to defend Trump without sounding insane,@JRubinBlogger @KandorKarteh Well put. Straight Outta Putins playbook...,SUPPORT,STATEMENT,GENERAL,NORMAL
>stillgray: Mark Zuckerberg’s posts get more engagement from posts on 𝕏 than he does on his own platform. Let that sink in.,"@stillgray No wonder. His platform is in shambles. Anyone who has been a long time user can see that it's far less dynamic and well run than it used to be a few years ago. Pretty clearly, they're trying to milk it for as much cash as possible & move on to other things.",SUPPORT,STATEMENT,GENERAL,NORMAL
>gunsnrosesgirl3: What are your plans for the weekend?,"@gunsnrosesgirl3 To balance my inner core. But alas, people from work remember my phone number.",SUPPORT,STATEMENT,PERSONAL,NORMAL
>rgay: Iggy Azalea did.... what???,@rgay I will never understand what this man did to garner such unearned loyalty from so many mediocre ppl,NEUTRAL,STATEMENT,GENERAL,NORMAL
">hugolowell: New: Trump posts on Truth Social a statement about Fulton County DA indictment, which is funny if you read it in Trump’s voice: “So, the Witch Hunt continues! 19 people Indicated tonight, including the former President of the United States, me”","@hugolowell 🤣🤣🤣 I was with my Congressional Rep at a fundraiser when the news broke, we laughed our a$$es off for a minute 🤣",SUPPORT,STATEMENT,PERSONAL,NORMAL
">darrengrimes_: Interest rates up again. The squeezed middle now resembles a squished hedgehog in the middle of the road. There won’t be a middle class in this country anymore. The elites can own homes, fly and drive cars. The rest of us are increasingly immiserated, colder and own much less.",@darrengrimes_ But Darren you support the elites. You keep them in power.,OPPOSE,STATEMENT,GENERAL,NORMAL
">WilkowMajority: Would you rather vote for a  ......

A) A Terrible person with great policies 

B) A Great person with terrible policies","@WilkowMajority C) Biden , a great person with great policies",OPPOSE,STATEMENT,GENERAL,NORMAL
>ksorbs: New York used to be the city of dreams. What went wrong?,@ksorbs Dems,SUPPORT,STATEMENT,GENERAL,NORMAL
">dbongino: We’re absolutely in banana republic territory now.
God help us all.",@dbongino I’d leave if I were you,SUPPORT,COMMAND,GENERAL,NORMAL
">DC_Draino: I paid $4/gallon for gas today in Florida

It only cost $3.29 a few weeks ago

They’re lying about the health of this economy",@DC_Draino The problem is you live in Florida,OPPOSE,STATEMENT,GENERAL,NORMAL
>ByronYork: Does it seem somewhat strange that Garland appointed the guy who approved the sweetheart deal with Hunter Biden to now be the special counsel for Hunter Biden?,@ByronYork @ggreenwald Strange? No. Crooked? Absolutely.,OPPOSE,STATEMENT,GENERAL,NORMAL
">HelenKennedy: An old editor told me to always look for what isn't there: Mike Flynn, Patrick Byrne, Lin Wood, Lindsey Graham are not indicted.",@HelenKennedy Meaning?,NEUTRAL,QUESTION,GENERAL,NORMAL
">KatiePhang: BIG takeaways from the @FaniforDA presser:

-arrest warrants have been issued for all 19 defendants
-all charged have until August 25 to turn themselves in
-Willis will seek to try all of the defendants together
-Willis will request that the trial occur within the next 6 months","@KatiePhang @FaniforDA Betting that some of the lesser defendants plead out. They should have been given fewer days to surrender. If they don’t, would GA have to seek extradition?",NEUTRAL,QUESTION,GENERAL,NORMAL
">POTUS: As residents of Hawai'i mourn the loss of life and devastation taking place across their beautiful home, we mourn with them.

Like I've said, not only our prayers are with those impacted – but every asset we have will be available to them.

Here's the latest:",@POTUS No comment.,NEUTRAL,STATEMENT,GENERAL,NORMAL
">SteveScalise: Same playbook. New partisan DA trying to make a name for themselves.

Another sham indictment of Trump timed to do maximum damage in the 2024 election—this time with the indictment posted before the grand jury even voted—is no coincidence.

Americans see through this witch hunt.",@SteveScalise We the American people seen what the GOP was willing to do to enable Trump. You and your colleagues should be answering tough questions about why you looked the other way allowing Traitors to try to steal an election. Sit down clown 🤡,OPPOSE,COMMAND,GENERAL,RUDE
">BorrachinhaMMA: For great is the Lord and most worthy of praise;
    he is to be feared above all gods.
For all the gods of the nations are idols,
    but the Lord made the heavens.
Splendor and majesty are before him;
    strength and glory are in his sanctuary.
(Psalm 96 :4-6)",@BorrachinhaMMA Defeat Khamzat GOAT,NEUTRAL,COMMAND,GENERAL,NORMAL
">l78lancer: What we need right now is some popcorn and champagne...

Some folks say that it's a sad time in American history because democracy has been injured, so there's no reason to celebrate. Maybe. But the fact that the culprit may be held accountable is absolutely reason to celebrate.",@l78lancer After what Trump put this country through we have more than enough reason to celebrate. Ihave reason to celebrate if American democracy survived the GOP. I will go to sleep tonight and be thankful that I am not a corrupt politician getting ready to have my ass handed to me.,SUPPORT,STATEMENT,GENERAL,NORMAL
>tweettruth2me: Your political party is lying to you.,@tweettruth2me Wait. That would mean... they're all.. noooooo...,SUPPORT,STATEMENT,GENERAL,NORMAL
">BB_Updates: Mecole to Cirie- My only thing about the Hisam thing is that because of his ability to dominate, there will always be a target on him. If we start to illuminate that, he shifts to a Cameron, Jared, Cory alliance and they get all of us out of the way #BB25","@BB_Updates But if he stays, he’s the only one on that side able to win comps and will always be on power. He’s gotta go.",SUPPORT,STATEMENT,GENERAL,NORMAL
">RepJeffries: Social Security is an important part of the fabric of the American dream.

Right-wing extremists want to destroy it.

President Biden and House Dems will never let that happen.",@RepJeffries You are a liar and ther is no other way to say it.,OPPOSE,STATEMENT,GENERAL,RUDE
">Travis_in_Flint: I have a friend who hasn’t seen a movie since 2004.  He lives alone and doesn’t even watch TV.  He said he’s willing to give one movie a try.  

What one movie that has come out in the last 20 years should I have him watch?",@Travis_in_Flint Tell him the all female version of Ghostbusters is the best movie of the last 20 years. He won't even finish it and will never watch another movie again. It'll help keep him focused.,NEUTRAL,COMMAND,GENERAL,NORMAL
">SenRonJohnson: .@US_FDA sabotaged the use of ivermectin by tweeting: ""You are not a horse. You are not a cow...Stop it.""

But when pressed in court, they said: “FDA explicitly recognizes that doctors do have the authority to prescribe ivermectin to treat
COVID.""

How many died needlessly?","@SenRonJohnson @US_FDA 0. It doesn't work for COVID, you loon. It has been studied to death.",OPPOSE,STATEMENT,GENERAL,RUDE
>DanWolken: Are people really surprised about this Tuohy/Oher story? Maybe my Memphis background and familiarity with the Tuohys puts me in a different head space but I’ve been expecting this for 15 years.,@DanWolken You should mention The Blind Side for context.,NEUTRAL,COMMAND,GENERAL,POLITE
">MZHemingway: Ruling regime is *TERRIFYING* right now, whether it's calls for violence, calls to remove people from ballots, efforts to imprison political opponents, violations of Constitutional protections. Absolute nightmare. And too much of GOP establishment is sleeping/dead/in a coma.","@MZHemingway You write that ""too much of GOP establishment is sleeping/dead/in a coma.""

It's the opposite: People who are politically ""sleeping/dead/in a coma,"" tend to be in the GOP.

This goes on for generations already.",OPPOSE,STATEMENT,GENERAL,NORMAL
">MaryLTrump: In fairness, he's been the head of a criminal organization since the 1970s--this one just includes people who aren't actually members of his family.",@MaryLTrump And Giuliani shielded him for decades.,SUPPORT,COMMAND,GENERAL,POLITE
>robreiner: Not hyperbole. We are now living through the most important case brought by the Department of Justice in US history. Whether or not our Democracy survives will be determined by the outcome.,@robreiner Drama queen,OPPOSE,STATEMENT,GENERAL,RUDE
">RepBoebert: Devon Archer’s testimony only confirms what we already knew…

Hunter Biden was Joe Biden’s bagman.

@POTUS lied to the American people.","@RepBoebert @POTUS Calling the President of the United States a “bagman”.
Speaks loudly about your lack of education, decorum and vocabulary.
You are trash. I can offer you synonyms if you need them.",OPPOSE,STATEMENT,GENERAL,RUDE
">ksorbs: We couldn’t get 10 billion for a border wall but we have 100+ billion to send to Ukraine?
Tell me how that isn’t money laundering.","@ksorbs Trump claimed he had 15 Billion Dollars for the wall.
What happened to the money?",OPPOSE,QUESTION,GENERAL,NORMAL
>MdBreathe: Saw another patient today with intractable rash following COVID shots.  Three different doctors told her it couldn’t possibly be related to the shots - none of them reported it to VAERS.,@MdBreathe @DrTessaT What part of 100% safe and effective don't you understand?,NEUTRAL,QUESTION,GENERAL,NORMAL
>LangmanVince: Brian Kemp was in on it!,@LangmanVince Sure feels like it,SUPPORT,STATEMENT,GENERAL,POLITE
">POTUS: America can’t lead the world with a second-rate infrastructure.

My Administration is rebuilding old tunnels and investing in passenger rail to make commutes easier, take vehicles off the highways, and reduce pollution.",@POTUS Solo hablas 💩,OPPOSE,STATEMENT,GENERAL,NORMAL
">RepMikeRogersAL: Biden continuously chooses far-left politics over national security, and that's why I'll continue to work with my friends, @RepJimBanks and @RepMattGaetz to get woke politics out of the military.","@RepMikeRogersAL @RepJimBanks @RepMattGaetz You’re making fools of yourselves boys, claiming you’re worried about national security. You all helped foment the bloody insurrection & stand w/@SenTuberville  in holding up vital military promotions. Issuing stupid ambiguous statements like this one does NOT change those facts.",OPPOSE,STATEMENT,GENERAL,RUDE
">Timcast: you cant be born in the wrong body

there is no right or wrong way to be you",@Timcast Your mind is part of your body so it makes even less sense.,OPPOSE,STATEMENT,GENERAL,NORMAL
">newtgingrich: the ny times: [Republicans] have not produced evidence that …the president influenced U.S. policy to benefit his son’s business partners.

Why is directly blackmailing the ukrainian president to fire the prosecutor threatening burisma not influence to benefit hunters employer?",@newtgingrich Because that didn't happen Newt. 🙄,NEUTRAL,STATEMENT,GENERAL,NORMAL
">BeschlossDC: Serious question:  is Trump deliberately and specifically trying to defy the orders of Judge Chutkan?  And if so, what is his purpose?","@BeschlossDC I think so.  His entire defense is that his 1st amendment rights were violated.  The more he's called out for his post arraignment  comments, the more he'll claim that his speech is under attack by the government.",SUPPORT,STATEMENT,GENERAL,NORMAL
">laurenboebert: The January 6th Committee DESTROYED EVIDENCE that could have exonerated protestors and President Trump.

This evidence might have also implicated Pelosi and the FBI.

Subpoena ALL of them immediately, including the two Republican cowards who got run out of Congress!","@laurenboebert Trump says things w/out proof, and Republicans repeat it as if it’s fact.

The claim about the @January6thCmte are just like Hillary emails. It’s impossible to know if a single email was deleted without the server, but that didn’t stop Trump from saying she deleted 33,000 emails.",OPPOSE,STATEMENT,GENERAL,NORMAL
>robreiner: Time to stop all the hand wringing. Joe Biden is having the most successful and accomplished Presidency in the last 60 years. And the choice could not be more clear. Do you want Democracy or Fascism?,@robreiner You really should learn what Fascism before you accuse.,OPPOSE,COMMAND,GENERAL,NORMAL
">MarkWarner: I was on the floor of the Senate on Jan. 6. The threat was real. Last year, we passed the Electoral Count Act to clear up some of the ambiguity that empowered fringe groups to think Mike Pence could overturn the election.

There’s still a lot more we can do to protect democracy.",@MarkWarner The threat wasn’t real we all know this it’s been proven we seen the videos you’re a fucking liar,OPPOSE,STATEMENT,GENERAL,RUDE
">MiaFarrow: I think just about anyone who watched Anita Hill’s credible testimony, would surely agree that Clarence Thomas should never have been seated on the Supreme Court","@MiaFarrow I's ask what you think of Thomas Sowell, Ph.D., but what would be the point?",OPPOSE,QUESTION,GENERAL,NORMAL
">RepAdamSchiff: With this new Georgia indictment, our democracy and the rule of law will again be put to a test.

And just like the DOJ’s last indictment, what stands out to me is how closely the facts set out in the indictment track the evidence we uncovered on the Jan 6th Committee.

🧵: 1/8",@RepAdamSchiff We know what you’re evidence looks like.,OPPOSE,STATEMENT,GENERAL,NORMAL
">BeschlossDC: Standing next to Trump at Iowa State Fair, Gaetz today says, “We know that only through force can we make any change in a corrupt town like Washington DC.”
Anyone have a reaction?",@BeschlossDC Gaetz of course will not be undertaking any of that violence himself.,OPPOSE,STATEMENT,GENERAL,NORMAL
>Jim_Jordan: Make Groceries Affordable Again!,"@Jim_Jordan I was retired but because of Biden, I’m stocking grocery shelves. Since Biden, the cheapest Banquet pot pie DOUBLED in price. That ain’t 10% inflation.",OPPOSE,STATEMENT,PERSONAL,NORMAL
">RichardGrenell: Dear Hawaii, your money went to Ukraine. 

Remember that in November of 2024.",@RichardGrenell Stupid comment.,OPPOSE,STATEMENT,GENERAL,RUDE
">AdamKinzinger: If you tell someone to murder a person, and they do, that’s not free speech.",@AdamKinzinger Utter sophistry.,OPPOSE,STATEMENT,GENERAL,RUDE
>StephenM: Just so you understand the new system: the most corrupt democrat jurisdictions will criminally charge you if you challenge their corruption.,"@StephenM 🤣😂 Hey Stephen, I have never seen an indictment with that many unindicted co-conspirator. 
There is a lot of flipping going on. 
So I wouldn't be pushing BS if I was you.",OPPOSE,COMMAND,GENERAL,NORMAL
">morganisawizard: today is my last day being 24.

what’s something you wish you knew when you were 25?",@morganisawizard Vote blue no matter who,NEUTRAL,COMMAND,GENERAL,NORMAL
">TristanSnell: The Supreme Court is not above the law.

Pass it on.",@TristanSnell how dare they not be in lockstep with the leftwing whackos,OPPOSE,STATEMENT,GENERAL,RUDE
">megbasham: I don’t want Marxist/social Justice/third-way Christianity. I don’t want edgelord/secret-society/trad-larping Christianity.

I want pure, humble Gospel Christianity. I’m interested in no other.",@megbasham Then go become a nun,OPPOSE,COMMAND,GENERAL,NORMAL
">VP: .@POTUS and I have created more than 13 million new jobs, and American manufacturing is growing faster than it has in decades.

Bidenomics is working.","@VP @POTUS No
You
Haven't",OPPOSE,STATEMENT,GENERAL,NORMAL
">TheRickWilson: I can’t wait to see the co-defendants in the GA indictments.

Everything Trump Touches Dies.","@TheRickWilson Co-defendants

1. Lindsey Graham (already crying on Fox)
2. Ted Cruz (same as above)
3. Marjorie Greene (kinda silent)
4. Our Bobo (same as above)
5. Andy Biggs (no comment so far after telling reporters that their committee laid big dud)
6. Matt Gaetz (I should be the next AG)🤣",SUPPORT,STATEMENT,GENERAL,NORMAL
>greta: Need advice: I have about a 15 hour flight coming up …I want a riveting series to download since there is no wifi on the flight. What do you suggest?,"@greta Billions, 1883",SUPPORT,STATEMENT,GENERAL,NORMAL
">Jim_Jordan: Today’s indictment is just the latest political attack in the Democrats’ WITCH HUNT against President Trump.

He did nothing wrong!","@Jim_Jordan That’s it Jim, post your undying love to your master on X so he can see your display of loyalty and devotion. He has you exactly where he wants you. There’s no way out for you now. Why’d you need that pardon? You get back 10x what you put out into the universe..damn Gym. Eeeekk😬",OPPOSE,QUESTION,GENERAL,NORMAL
">laurenboebert: If they didn’t think Trump could win again, they wouldn’t be feverishly filing indictments to try and stop him from winning.",@laurenboebert JUST STOP CRIMING IS THAT TOO MUCH TO ASK?,OPPOSE,COMMAND,GENERAL,RUDE
">SRXracing: TONY STEWART WINS AT ELDORA!

#CampingWorldSRX",@SRXracing let’s go smoke 🙌🙌 #CampingWorldSRX,SUPPORT,COMMAND,GENERAL,POLITE
">robreiner: The choice could not be clearer. If you want White Christian Nationalism, if you want Fascism, vote for Trump. If you want Human Decency, if you want Democracy, vote for Biden. That’s it, and that’s all.","@robreiner @dellacooper05 President Biden is doing a great job. Trump is horrible.
The worst part is that so many people have embraced the hate that Trump promotes.",SUPPORT,STATEMENT,GENERAL,NORMAL
">ananavarro: Just got my home insurance renewal notice.
It’s gone up over 100%. More than doubled. And I’m one of the lucky ones. My insurance co didn’t flee FL. 

Ron DiSaster & FL legislature did nothing to address this crisis. They were too busy battling history, drag-queens and Mickey.",@ananavarro Maybe you should move?🤔,OPPOSE,COMMAND,GENERAL,NORMAL
">naomirwolf: Got an email from an old friend/former mentor who explained that she was ending our friendship because I am an ‘anti-vaxxer’, because I talk to Fox News, because I criticized Dr Fauci and because I am learning to shoot a gun. My views ‘cause harm.’",@naomirwolf With friends like that...,SUPPORT,STATEMENT,GENERAL,POLITE
">ewarren: Out of the 37 richest nations in the world, the United States ranks 33rd on investing in child care. That’s no way to build a future. I’ve got a plan for a nationwide investment that would put child care within reach for every family, and I’ll keep fighting to make it happen.","@ewarren @AmericanMOM01 PRO-LIFE, SURE, WHATEVER...",OPPOSE,STATEMENT,GENERAL,NORMAL
">VP: Trust women to make health care decisions. 

Politicians should not be telling them what to do with their own bodies.","@VP Weird take considering that politicians tell people what to do with and put in their own bodies all the time.
You also tell us what we can and cant own.",OPPOSE,STATEMENT,GENERAL,NORMAL
>charliekirk11: When you send $150 billion to Ukraine don’t be shocked when your own country is on fire and your leaders don’t care.,@charliekirk11 Vlad?  Is that you?,OPPOSE,QUESTION,GENERAL,NORMAL
">realJoelFischer: Remember when he came down the escalator? 

They're going after him since that moment.","@realJoelFischer What a garbage account this is... Tweets out all propaganda and never engages a response... That's what all MAGA cult accounts do since there literally is no response to give...

Tweet lies... Don't engage... Tweet more lies..",OPPOSE,STATEMENT,GENERAL,RUDE
">TimRunsHisMouth: Fulton County posted changes against Trump before the Grand Jury was finished deliberating.

That's grounds for a mistrial.",@TimRunsHisMouth I’m sure your legal opinion is well founded….,OPPOSE,STATEMENT,GENERAL,NORMAL
">bennyjohnson: 🚨BREAKING: Biden to travel to Lake Tahoe, Nevada for A WEEK this Friday while utterly ignoring hundreds of dead Americans in Maui","@bennyjohnson You are lying as always.  Biden is already authorizing FEMA to help them, which Trump didn't do under he was cornered like a caged animal.",OPPOSE,STATEMENT,GENERAL,RUDE
">BillHemmer: Friday, folks. 🐣","@BillHemmer Hey, it appears you've failed history. Mein Kampf was written by Hitler in 1925, not Karl Marx.",OPPOSE,STATEMENT,GENERAL,NORMAL
">laurenboebert: On Monday Devin Archer blows the whistle on the Biden family.

On Tuesday Donald Trump is indicted for the third time.

Anyone who still can’t see the corruption of this administration is willfully blind.","@laurenboebert You realize Trump was indicted first before any of this right... And you started the Biden crap because you needed to deflect... 

You're not smart",OPPOSE,STATEMENT,GENERAL,RUDE
">GalenMetzger1: Democrats holding the senate in 2024 would be a black swan event. It is highly, highly unlikely, and requires almost everything to go right for them.",@GalenMetzger1 Never bet against Dems. They always rise like a phoenix. Democracy will be saved and Republicans will get their a**es kicked by those of us who love our freedoms and Democracy.,OPPOSE,STATEMENT,GENERAL,RUDE
>hankgreen: What becomes clear to me is that wealthy podcast guys who feel as if they are being cancelled for their heretical views are actually just extremely sensitive to any criticism and just plain shocked that a person could possibly disagree with them.,"@hankgreen I always feel like when I am criticized that the people criticizing me know the secret truth of myself, and that they are 100% right and everyone knows it including me. Except for when they say ""Teenagers don't talk like that."" That one rolls right off me, because it's so silly.",SUPPORT,STATEMENT,PERSONAL,POLITE
">MarshaBlackburn: Trump terrifies the radical Left amid all of Biden’s failures.

They’ll do everything possible to unjustly take him down.","@MarshaBlackburn We don’t need unjust reasons… He’s a cornucopia of crime.

And you know it.",OPPOSE,STATEMENT,GENERAL,NORMAL
">glennbeck: I'm seeing the government do things I've never seen in my 40+ years of broadcasting. People have mailed credible threats to presidents for years. They've (rightly) been investigated for it, but I've never seen the FBI gun anybody down for it. Ever. This is not normal.",@glennbeck Threatening the president is a crime!,OPPOSE,STATEMENT,GENERAL,NORMAL
">GreggJarrett: AG Merrick Garland is NOT allowed to appoint David Weiss as special counsel.  Garland is defying federal regulations.  He only can name someone “outside the United States government” (28 CFR 600.03).  
So, the fix is in.  Weiss will continue the obstruction  & Biden protection.","@GreggJarrett How can Judge Aileen Cannon, appointed by Trump, be allowed to preside over his case then? Should that be allowed - because she is OBVIOUS in her bias towards him....not even pretending to be impartial.",OPPOSE,QUESTION,GENERAL,NORMAL
">MacFarlaneNews: Speaking to ABC about Trump indictments,  2024 GOP hopeful Chris Christie:

""When are we going to stop pretending that this is normal?""",@MacFarlaneNews @gtconway3d Never !,OPPOSE,STATEMENT,GENERAL,NORMAL
">joncoopertweets: When Trump is criminally indicted for the fourth time, who thinks he should be DENIED bail due to witness intimidation? ✋",@joncoopertweets Heck yeah!!!,SUPPORT,STATEMENT,GENERAL,NORMAL
">hughhewitt: What will be the mood in the country, what will historians write in 100 years, if fmr President Trump is either acquitted on all counts in all four jurisdictions, or all charges are dismissed by higher courts, but it happens after he loses a close rematch with President Biden?",@hughhewitt What if “All charges are dismissed” for reasons you can’t think of because they’re not serious arguments,OPPOSE,QUESTION,GENERAL,NORMAL
">MarshaBlackburn: TikTok’s presence in the United States is a national security threat that must be taken seriously.
 
We cannot allow Communist China to own Americans’ private data.",@MarshaBlackburn Gun deaths in TN have risen every year since the Republican party dismantled gun safety law's. The majority of TN residents want common sense gun legislation but we can't get our lawmakers to listen. Where is Blackburn and why won't she help the people she represents?,OPPOSE,QUESTION,GENERAL,NORMAL
">RepAndyBiggsAZ: The corrupt officials in the FBI who consistently abuse FISA to surveil American citizens must be brought to justice. 

We will continue our oversight of bad actors in our federal government. 

Congress cannot reauthorize FISA.",@RepAndyBiggsAZ Don't break the law and they have no reason to.,OPPOSE,COMMAND,GENERAL,NORMAL
>StephenM: A Republican DA could indict both Biden and Mayorkas for human trafficking.,@StephenM You misspelled *NEED TO,SUPPORT,STATEMENT,GENERAL,NORMAL
">RonnyJacksonTX: “Praise be to the God and Father of our Lord Jesus Christ, the Father of compassion and the God of all comfort” - 2 Corinthians 1:3",@RonnyJacksonTX How many glasses of hooch have you had this morning?,OPPOSE,QUESTION,GENERAL,RUDE
">kyrstensinema: Amelia Earhart was born #OnThisDay in 1897. Today, we honor Amelia’s legacy as an American hero who opened the door for countless women in aviation. ✈️","@kyrstensinema Guess what Sinema, you brag & brag and try to take credit for everything BUT you never discuss your failure to protect voting rights, the right to choose & so much else. 🤬🤬🤬you&  your god the filibuster.
Also, you only associate with your Republican colleagues now! Hmmmm",OPPOSE,STATEMENT,GENERAL,NORMAL
">laurenboebert: We now have DAs releasing indictments before they are even voted on by grand juries.

There is no such thing as justice in this country.

The entire system has been weaponized.

Fanni Willis should be relieved of her position.",@laurenboebert #HisDayInCourt!,OPPOSE,STATEMENT,GENERAL,NORMAL
">laurenboebert: We now have DAs releasing indictments before they are even voted on by grand juries.

There is no such thing as justice in this country.

The entire system has been weaponized.

Fanni Willis should be relieved of her position.","@laurenboebert It’s spelled Fani, genius. 🙄",OPPOSE,STATEMENT,GENERAL,RUDE
">ElieNYC: As of today, I’ve been happily married for 19 years.
Every day, it remains the best decision I’ve ever made. :)",@ElieNYC Congratulations and happy anniversary❤️❤️,SUPPORT,STATEMENT,GENERAL,POLITE
">TeamPelosi: Democrats deliver jobs in solidarity with unions fighting for dignity at work because we know a strong middle class has a union label on it.

We will continue to advance workers’ rights to organize for working families' economic security. -NP

#MondayMotivation","@TeamPelosi Union or non-union, the middle class is going to be crushed by the imminent economic depression. Democrats are ""fiddling while Rome burns"".",OPPOSE,STATEMENT,GENERAL,NORMAL
">JudiciaryGOP: If they appointed a truly independent special counsel, would they hire the guy who offered Hunter a sweetheart plea deal? 

𝐍𝐎.","@JudiciaryGOP If you really were interested in the rule of law, & no weaponization of government, you'd stop holding these ridiculous hearings & get on with the people's business.",OPPOSE,COMMAND,GENERAL,NORMAL
